Name,Customer_Id,Password,Email,Address,Referal Code
Nell,CUS_384128,weUiak23e,nell128@gmail.com,"P.O. Box 390, 4247 Sit St.",ahuihqc
Tom,CUS_381329,mmAkkql12,tom329@gmail.com,"P.O. Box 719, 7438 Ligula. Ave",adbcuq
James,CUS_684283,mnwwa231,james83@gmail.com,767 Imperdiet Ave,abdcujq
David,CUS_138539,klartxbuYY,david539@gmail.com,1037 Nibh Ave,iqjefhiq
Deepak,CUS_285813,987fcukal2,deeepak@gmail.com,407-3102 Nunc Rd.,wubhec
Arjun,CUS_284852,lakmGjwooo,arjun69@gmail.com,"P.O. Box 295, 6383 Quis, Av",vqewjuc
Neha,CUS_248502,mn23mnRt,neha96@gmail.com,"4259 Nec, Ave",zbucjw
Munish,CUS_294596,ijawefi13jka,mthkral89@gmail.com,296-1078 Sed Rd.,bsudjcvb
Shukla,CUS_586492,ahcbi2H1ol,shukla@gmail.com,9649 Tempor Ave,wegbcuj
Aman,CUS_532484,iuahc77809,amaan56@gmail.com,Ap #661-4597 Odio. St,wgebduc
