hotel_name,company_id,password,email,address,No_of_Rooms,parkingBool
Hilton: Bihar,HOT001,5tgzbavf,Hilton-Bihar@gmail.com,"MDR, Teghra, Begusarai, Bihar, 851133, India",13,1
Hilton: Maharashtra,HOT001,1kn3dqa9,Hilton-Maharashtra@gmail.com,"Dake Hospital, MSH4, Uran, Raigad, Maharashtra, 400702, India",13,1
Hilton: Telangana,HOT001,no6ox6ea,Hilton-Telangana@gmail.com,"Central Bank Colny, Ward 12 Mansoorabad, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Saroornagar mandal, Rangareddy, Telangana, 500074, India",14,0
Hilton: Jammu and Kashmir,HOT001,8iea9o71,Hilton-Jammu_and_Kashmir@gmail.com,"Karan Nagar, Srinagar, Srinagar (South), Srinagar, Jammu and Kashmir, 190010, India",11,1
Hilton: Uttarakhand,HOT001,ov0nw6md,Hilton-Uttarakhand@gmail.com,"Haldwani, Nainital, Uttarakhand, 263139, India",8,0
Hilton: West Bengal,HOT001,q5fa4dza,Hilton-West_Bengal@gmail.com,"Diamond Harbour, Diamond Harbour - I, South 24 Parganas, West Bengal, 743331, India",8,0
Hilton: Assam,HOT001,5c6xefnx,Hilton-Assam@gmail.com,"Rangia, Rangia Pt, Kamrup, Assam, 781354, India",12,0
Hilton: Punjab,HOT001,bu3h1btd,Hilton-Punjab@gmail.com,"ODR3, Patti, Patti Tahsil, Tarn Taran, Punjab, 143416, India",15,0
Hilton: Madhya Pradesh,HOT001,zzjmb9h2,Hilton-Madhya_Pradesh@gmail.com,"Lateri, Lateri Tahsil, Vidisha, Madhya Pradesh, 464114, India",12,0
Hilton: Puducherry,HOT001,w6zvl0ks,Hilton-Puducherry@gmail.com,"World of Waffles, 46, Needarajapayar Street, Bharathipuram, Grand Bazaar, Puducherry, Puducherry Taluk, Puducherry district, Puducherry, 605001, India",6,0
Hilton: Uttar Pradesh,HOT001,351yaa2q,Hilton-Uttar_Pradesh@gmail.com,"MDR82W, Chharra, Atrauli, Aligarh, Uttar Pradesh, India",8,0
Hilton: Gujarat,HOT001,k0dl4at7,Hilton-Gujarat@gmail.com,"Amreli, Amreli Taluka, Amreli District, Gujarat, 364600, India",5,0
Hilton: Odisha,HOT001,b2q94gwb,Hilton-Odisha@gmail.com,"Bhuban, Dhenkanal, Odisha, 759017, India",5,0
Hilton: Rajasthan,HOT001,t21zvlo6,Hilton-Rajasthan@gmail.com,"Sheoganj, Sheoganj Tehsil, Sirohi, Rajasthan, 306902, India",11,0
Hilton: Karnataka,HOT001,dvo4bxfx,Hilton-Karnataka@gmail.com,"Anekonda, K.B. Extension, Davanagere, Davanagere taluku, Davanagere district, Karnataka, 577000, India",5,1
Hilton: Chhattisgarh,HOT001,f863lk64,Hilton-Chhattisgarh@gmail.com,"Jashpurnagar, Jashpur Tahsil, Jashpur, Chhattisgarh, 496331, India",13,0
Hilton: Andhra Pradesh,HOT001,3wjk8hfr,Hilton-Andhra_Pradesh@gmail.com,"Kalva - Bethamcherla - Banaganapalle Road, Bugganipalli Cement Nagar, Bethamcherla, Bethamcherla Mandal, Kurnool, Andhra Pradesh, India",9,0
Hilton: Himachal Pradesh,HOT001,gjrc6b1f,Hilton-Himachal_Pradesh@gmail.com,"State Bank of India, Chamba Road, Chamba, Himachal Pradesh, 176310, India",14,0
Hilton: State,HOT001,7i9izb9h,Hilton-State@gmail.com,Address,13,0
Hilton: Kerala,HOT001,cv3ohtkn,Hilton-Kerala@gmail.com,"Platform 1, Civil Station Road, S N Puram, Aluva, Ernakulam, Kerala, 683108, India",8,1
Hilton: Goa,HOT001,ehnm60ff,Hilton-Goa@gmail.com,"Calangute Beach, Calangute Baga Road, Dongarpur, Calangute, Bardez, North Goa, Goa, 403516, India",9,0
Hilton: Tamil Nadu,HOT001,sp26ez77,Hilton-Tamil_Nadu@gmail.com,"Dharmapuri, Dharmapuri district, Tamil Nadu, 636700, India",13,0
Hyatt: Bihar,HOT002,r199s7zf,Hyatt-Bihar@gmail.com,"Police Colony, Saharsa, Kahara, Saharsa, Bihar, 852200, India",10,1
Hyatt: Maharashtra,HOT002,6u4gcz92,Hyatt-Maharashtra@gmail.com,"Parola, Jalgaon, Maharashtra, 425111, India",13,0
Hyatt: Telangana,HOT002,n24v98gn,Hyatt-Telangana@gmail.com,"Central Bank Colny, Ward 12 Mansoorabad, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Saroornagar mandal, Rangareddy, Telangana, 500074, India",9,0
Hyatt: Jammu and Kashmir,HOT002,krfqnro0,Hyatt-Jammu_and_Kashmir@gmail.com,"Karan Nagar, Srinagar, Srinagar (South), Srinagar, Jammu and Kashmir, 190010, India",14,1
Hyatt: Uttarakhand,HOT002,3nzf1j81,Hyatt-Uttarakhand@gmail.com,"Haldwani, Nainital, Uttarakhand, 263139, India",5,1
Hyatt: West Bengal,HOT002,15kbhwkj,Hyatt-West_Bengal@gmail.com,"Karl Marx Sarani, Fort Gloster, Budge Budge - I, South 24 Parganas, West Bengal, 711315, India",8,1
Hyatt: Assam,HOT002,5eg6d8lb,Hyatt-Assam@gmail.com,"Rangia, Rangia Pt, Kamrup, Assam, 781354, India",14,0
Hyatt: Punjab,HOT002,hcza1fy9,Hyatt-Punjab@gmail.com,"ODR3, Patti, Patti Tahsil, Tarn Taran, Punjab, 143416, India",11,1
Hyatt: Madhya Pradesh,HOT002,i74y9lpo,Hyatt-Madhya_Pradesh@gmail.com,"Lateri, Lateri Tahsil, Vidisha, Madhya Pradesh, 464114, India",10,0
Hyatt: Puducherry,HOT002,ggtasmsr,Hyatt-Puducherry@gmail.com,"World of Waffles, 46, Needarajapayar Street, Bharathipuram, Grand Bazaar, Puducherry, Puducherry Taluk, Puducherry district, Puducherry, 605001, India",10,0
Hyatt: Uttar Pradesh,HOT002,46tdg012,Hyatt-Uttar_Pradesh@gmail.com,"Dhanaura, Jyotiba Phule Nagar, Uttar Pradesh, 244231, India",12,0
