hotel_name,company_id,password,email,address,No_of_Rooms,parkingBool
Hilton: Goa,HOT001,efhxvib4,Hilton-Goa@gmail.com,"Calangute Beach, Calangute Baga Road, Dongarpur, Calangute, Bardez, North Goa, Goa, 403516, India",14,0
Hilton: Assam,HOT001,8z5b9jdd,Hilton-Assam@gmail.com,"Barpeta, Assam, 781300, India",13,1
Hilton: Madhya Pradesh,HOT001,cdivt1rf,Hilton-Madhya_Pradesh@gmail.com,"Shivpuri Tahsil, Shivpuri district, Madhya Pradesh, 473880, India",5,1
Hilton: Puducherry,HOT001,omzij295,Hilton-Puducherry@gmail.com,"World of Waffles, 46, Needarajapayar Street, Bharathipuram, Grand Bazaar, Puducherry, Puducherry Taluk, Puducherry district, Puducherry, 605001, India",14,1
Hilton: Tamil Nadu,HOT001,i9870aog,Hilton-Tamil_Nadu@gmail.com,"Kangeyam Bus stand, Durgaiamman Kovil Street, Kangeyam, Tiruppur, Tamil Nadu, 638701, India",13,0
Hilton: Jammu and Kashmir,HOT001,j4bqr2cq,Hilton-Jammu_and_Kashmir@gmail.com,"Rajouri, Rajauri, Jammu and Kashmir, 185131, India",15,1
Hilton: Bihar,HOT001,smc61dki,Hilton-Bihar@gmail.com,"MDR, Teghra, Begusarai, Bihar, 851133, India",11,0
Hilton: Maharashtra,HOT001,5ffd245s,Hilton-Maharashtra@gmail.com,"Dake Hospital, MSH4, Uran, Raigad, Maharashtra, 400702, India",9,1
Hilton: Telangana,HOT001,kq45i9px,Hilton-Telangana@gmail.com,"Central Bank Colny, Ward 12 Mansoorabad, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Saroornagar mandal, Rangareddy, Telangana, 500074, India",10,1
Hilton: Karnataka,HOT001,pkvf3m5d,Hilton-Karnataka@gmail.com,"Anekonda, K.B. Extension, Davanagere, Davanagere taluku, Davanagere district, Karnataka, 577000, India",11,1
Hilton: Gujarat,HOT001,uqrjvt1x,Hilton-Gujarat@gmail.com,"Savar Kundla, Kundla, Savar Kundla Taluka, Amreli District, Gujarat, 364515, India",11,0
Hilton: Odisha,HOT001,vb8fxqyc,Hilton-Odisha@gmail.com,"Sambalpur, Sambalpur (M), Sambalpur, Odisha, 768001, India",8,0
